country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",14-02-2025 17:00:00,19.2243333,72.8658113,PM10,48,113
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",14-02-2025 17:00:00,19.2243333,72.8658113,NO2,8,31
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",14-02-2025 17:00:00,18.9767,72.8380,NO2,36,126
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",14-02-2025 17:00:00,20.719516,77.000253,NO2,13,47
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",14-02-2025 17:00:00,20.719516,77.000253,NH3,4,9
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",14-02-2025 17:00:00,20.9402359,77.7895248,PM2.5,32,87
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB",14-02-2025 17:00:00,20.939198,77.765701,PM10,44,238
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",14-02-2025 17:00:00,18.9767,72.8380,CO,6,90
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",14-02-2025 17:00:00,20.0073285,73.7762427,PM10,49,149
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",14-02-2025 17:00:00,20.0073285,73.7762427,NO2,12,48
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",14-02-2025 17:00:00,20.0073285,73.7762427,CO,8,109
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",14-02-2025 17:00:00,20.0073285,73.7762427,OZONE,33,83
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",14-02-2025 17:00:00,20.021503,73.813844,PM2.5,45,132
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",14-02-2025 17:00:00,20.021503,73.813844,NH3,2,10
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",14-02-2025 17:00:00,19.950220,73.731480,PM10,99,163
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",14-02-2025 17:00:00,19.950220,73.731480,NO2,7,43
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",14-02-2025 17:00:00,19.950220,73.731480,SO2,14,108
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",14-02-2025 17:00:00,19.950220,73.731480,CO,14,54
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",14-02-2025 17:00:00,19.9591346,73.7788008,NO2,5,61
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.0575752,73.0151367,OZONE,1,59
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.02579,73.10297,PM10,56,193
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.02579,73.10297,SO2,11,49
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.0630,73.1209,NH3,4,7
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",14-02-2025 17:00:00,19.265594,76.761463,SO2,15,26
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",14-02-2025 17:00:00,19.9591346,73.7788008,NH3,3,9
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.090337,73.014232,NO2,30,143
India,Maharashtra,Navi Mumbai,"Mahape, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.1135051,73.008978,SO2,23,24
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.0575752,73.0151367,PM10,86,366
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",14-02-2025 17:00:00,19.0575752,73.0151367,NH3,3,19
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",14-02-2025 17:00:00,19.19709,72.82204,OZONE,5,92
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",14-02-2025 17:00:00,18.96702,72.84214,SO2,7,96
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",14-02-2025 17:00:00,18.96702,72.84214,OZONE,5,91
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",14-02-2025 17:00:00,19.1878657,72.8304069,PM10,82,138
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",14-02-2025 17:00:00,19.1878657,72.8304069,SO2,13,73
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",14-02-2025 17:00:00,19.1750,72.9419,PM2.5,22,88
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",14-02-2025 17:00:00,19.1750,72.9419,PM10,65,155
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",14-02-2025 17:00:00,19.1750,72.9419,SO2,67,68
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",14-02-2025 17:00:00,19.1750,72.9419,CO,9,9
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",14-02-2025 17:00:00,18.897756,72.813320,CO,20,72
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",14-02-2025 17:00:00,19.000084,72.856730,NH3,NA,NA
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",14-02-2025 17:00:00,19.060498,72.923356,NH3,3,8
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",14-02-2025 17:00:00,19.000083,72.813993,OZONE,3,88
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",14-02-2025 17:00:00,19.047000,72.874600,SO2,10,51
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",14-02-2025 17:00:00,18.59051,73.77946,PM2.5,55,195
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",14-02-2025 17:00:00,18.614767,73.799516,PM10,106,207
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",14-02-2025 17:00:00,18.614767,73.799516,OZONE,3,47
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",14-02-2025 17:00:00,21.152875,79.0517531,NO2,10,76
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",14-02-2025 17:00:00,21.152875,79.0517531,OZONE,2,61
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",14-02-2025 17:00:00,19.173852,77.296291,PM2.5,20,90
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",14-02-2025 17:00:00,21.14472,79.107595,PM10,77,166
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",14-02-2025 17:00:00,18.664282,73.763966,OZONE,1,98
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB",14-02-2025 17:00:00,17.6336264,75.9132495,PM10,NA,NA
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",14-02-2025 17:00:00,17.65439,75.90649,PM2.5,49,264
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",14-02-2025 17:00:00,17.65439,75.90649,NO2,19,160
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",14-02-2025 17:00:00,17.65439,75.90649,NH3,3,36
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB",14-02-2025 17:00:00,17.65439,75.90649,CO,13,121
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",14-02-2025 17:00:00,18.573040,73.927715,PM2.5,56,269
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",14-02-2025 17:00:00,18.536457,73.805454,CO,50,153
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",14-02-2025 17:00:00,18.547056,73.826908,PM2.5,27,83
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",14-02-2025 17:00:00,18.547056,73.826908,CO,16,114
